channel,train_mean,validation_mean,validation_z_shift_vs_train,test_mean,test_z_shift_vs_train,train_anomaly_rate,validation_anomaly_rate,test_anomaly_rate
channel_1,0.13807489,0.13798608,-0.016224787,0.13799234,-0.015081429,0.0,0.0,0.0
channel_2,0.12680246,0.12653999,-0.01758362,0.1265457,-0.01720128,0.0,0.0,0.0
channel_3,0.12688093,0.12656432,-0.019833663,0.12658808,-0.018345695,0.0,0.0,0.0
channel_4,0.061071526,0.19585428,3.5522547,0.24954471,4.9672885,0.0,0.0,0.0
channel_5,0.06284545,0.26264602,3.5296695,0.2837779,3.9029846,0.0,0.0,0.0
channel_6,0.08508808,0.24973679,3.5301542,0.30108362,4.6310573,0.0,0.0,0.0
channel_7,0.073230445,0.30010125,3.5250394,0.33404872,4.0525036,0.0,0.0,0.0
channel_8,0.09465045,0.31461123,3.0513744,0.35353354,3.5913186,0.0,0.0,0.0
channel_9,0.09345968,0.31098452,3.0555809,0.34966052,3.5988643,0.0,0.0,0.0
channel_10,0.059048258,0.14525627,2.8223238,0.36787322,10.110476,0.0,0.0,0.0
channel_11,0.026838768,0.04446633,8.040238,0.076761045,22.770418,0.0,0.0,0.0
channel_12,0.25922224,0.2346013,-0.6118514,0.23747623,-0.540407,0.004137194461184332,0.020815472415979707,0.021969548529138537
channel_13,0.31447724,0.28353,-0.77970624,0.2848475,-0.74651223,0.006966118541960653,0.02077298668357641,0.021589713640004032
channel_14,0.25381222,0.24566701,-0.13330802,0.38797858,2.1958237,0.04106960751209179,0.09579581483830057,0.18007344320009944
channel_15,0.10668795,0.111404054,0.09361071,0.21103095,2.0711203,0.053276824604397,0.08359923906150919,0.16080522460036487
channel_16,0.7609707,0.7516716,-0.13015537,0.79549634,0.48323998,0.03415322172451723,0.048866835764109065,0.09990101464742254
channel_17,0.2950893,0.27345514,-0.5373269,0.27678493,-0.45462513,0.014132391038048954,0.020787571337983514,0.021894088843317158
channel_18,0.31730822,0.2965513,-0.53071487,0.30085018,-0.4208004,0.014151278614168265,0.020690551680405834,0.021658198060749485
channel_19,0.25357145,0.24815224,-0.11908385,0.24870494,-0.10693863,0.012977259494234193,0.020759670259987317,0.02253200854026091
